location,totalConfirmedCases,newlyConfirmedCases,totalDeaths,newDeaths,totalRecoveredCases,newlyRecoveredCases
United Kingdom,4154562,9985,122070,323,2727466,61000
Uruguay,55695,821,595,4,48496,461
Uzbekistan,79804,31,622,0,78333,43
Venezuela,137871,426,1334,3,129927,440
Vietnam,2421,9,35,0,1804,0
West Bank and Gaza,495,0,4,0,316,0
Zambia,77171,687,1059,8,70800,997
Zimbabwe,35994,34,1458,2,32455,45
Sierra Leone,3884,4,79,0,2612,0
Burundi,2106,37,3,0,773,0
Caribbean Netherlands,429,0,4,0,402,0
Malawi,31502,207,1033,4,18045,475
Falkland Islands,54,0,0,0,46,0
Western Sahara,10,0,1,0,8,0
Saint Pierre Miquelon,24,0,0,0,16,0
South Sudan,7349,125,87,0,4107,93
Sao Tome and Principe,1719,47,27,0,1315,27
Yemen,2436,0,660,0,1580,0
Falkland Islands (Malvinas),13,0,0,0,13,0
Saint Pierre and Miquelon,1,0,0,0,1,0
Tajikistan,13308,0,90,0,13218,0
Comoros,3552,13,144,0,3203,13
Lesotho,10468,1,292,1,3577,159
Solomon Islands,18,0,0,0,14,0
Wallis and Futuna,9,0,0,0,6,0
Marshall Islands,4,0,0,0,4,0
Vanuatu,1,0,0,0,1,0
Samoa,3,0,0,0,2,0
Micronesia,1,0,0,0,1,0
